                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                 1.2931,                0.59309,                 1.3028,                0.96685,                0.95787,                0.98619,                0.65207,                 1.2338,                0.53859,                 1.3146,              0.0004853,              0.0004853,              0.0004853
                    156,                 1.2366,                0.56867,                 1.2481,                0.96353,                 0.9653,                0.98635,                 0.6493,                 1.2555,                0.52414,                 1.3228,              0.0004754,              0.0004754,              0.0004754
                    157,                 1.3021,                 0.6013,                 1.3443,                0.96432,                0.96964,                0.98624,                0.64903,                  1.256,                0.52816,                 1.3196,              0.0004655,              0.0004655,              0.0004655
                    158,                 1.2679,                0.56935,                 1.2592,                0.96585,                0.96365,                0.98606,                0.65043,                 1.2378,                0.52572,                  1.313,              0.0004556,              0.0004556,              0.0004556
                    159,                 1.3109,                0.59254,                 1.2953,                0.96634,                0.96056,                0.98492,                0.64238,                 1.2413,                0.53098,                 1.3147,              0.0004457,              0.0004457,              0.0004457
                    160,                 1.2425,                0.57814,                 1.2672,                0.96281,                0.96468,                0.98505,                0.64057,                 1.2636,                 0.5294,                 1.3225,              0.0004358,              0.0004358,              0.0004358
                    161,                 1.2784,                0.58526,                 1.3193,                0.96138,                0.96406,                0.98628,                0.64117,                 1.2853,                0.53374,                 1.3355,              0.0004259,              0.0004259,              0.0004259
                    162,                 1.2799,                0.58338,                  1.347,                 0.9633,                0.95942,                0.98586,                0.64985,                 1.2421,                0.53007,                 1.3154,               0.000416,               0.000416,               0.000416
                    163,                 1.2651,                0.58283,                 1.3094,                0.95473,                0.96697,                0.98559,                0.64704,                 1.2401,                0.53123,                 1.3168,              0.0004061,              0.0004061,              0.0004061
                    164,                 1.2768,                0.58361,                 1.2784,                0.96797,                0.96221,                0.98668,                0.65086,                 1.2388,                0.52412,                 1.3129,              0.0003962,              0.0003962,              0.0003962
                    165,                 1.2515,                0.56343,                  1.276,                0.96593,                0.96598,                0.98608,                0.65009,                 1.2372,                0.51944,                 1.3107,              0.0003863,              0.0003863,              0.0003863
                    166,                 1.2606,                0.57567,                  1.282,                0.96626,                0.96902,                0.98631,                0.64989,                 1.2301,                 0.5179,                 1.3067,              0.0003764,              0.0003764,              0.0003764
                    167,                 1.2729,                0.58952,                 1.3349,                0.96545,                 0.9684,                0.98636,                0.64483,                 1.2487,                0.51975,                 1.3175,              0.0003665,              0.0003665,              0.0003665
                    168,                 1.2645,                0.56925,                 1.2826,                0.96718,                0.96782,                0.98423,                0.64107,                 1.2478,                0.52595,                 1.3197,              0.0003566,              0.0003566,              0.0003566
                    169,                 1.2836,                0.57941,                 1.3146,                0.96769,                0.96902,                0.98496,                0.64441,                  1.231,                0.52364,                 1.3098,              0.0003467,              0.0003467,              0.0003467
                    170,                 1.2665,                0.55666,                 1.2772,                0.96954,                0.96622,                0.98537,                0.65084,                 1.2242,                0.51482,                 1.3035,              0.0003368,              0.0003368,              0.0003368
                    171,                 1.2365,                0.55677,                  1.261,                0.96881,                0.96215,                0.98622,                0.65144,                 1.2337,                0.51897,                 1.3078,              0.0003269,              0.0003269,              0.0003269
                    172,                 1.2394,                0.57252,                 1.2615,                0.97124,                0.96241,                0.98632,                0.65606,                 1.2243,                0.51847,                 1.3012,               0.000317,               0.000317,               0.000317
                    173,                 1.2679,                0.56121,                 1.2888,                0.97012,                0.96568,                0.98654,                 0.6543,                  1.231,                0.52356,                 1.3042,              0.0003071,              0.0003071,              0.0003071
                    174,                 1.2646,                0.57901,                 1.2574,                0.96908,                0.96592,                0.98684,                0.65494,                 1.2287,                0.52165,                 1.3029,              0.0002972,              0.0002972,              0.0002972
                    175,                 1.2771,                0.58174,                 1.3063,                0.96593,                0.96778,                0.98715,                0.65056,                 1.2352,                0.51795,                 1.3087,              0.0002873,              0.0002873,              0.0002873
                    176,                 1.2966,                0.57095,                 1.2612,                 0.9666,                0.96823,                0.98715,                0.65362,                 1.2289,                0.51311,                 1.3068,              0.0002774,              0.0002774,              0.0002774
                    177,                 1.2331,                0.54929,                 1.2922,                 0.9706,                0.96778,                0.98767,                0.65611,                 1.2303,                0.50799,                 1.3048,              0.0002675,              0.0002675,              0.0002675
                    178,                 1.2515,                0.54531,                 1.2626,                0.96957,                0.96716,                0.98682,                0.64918,                  1.247,                0.51234,                 1.3086,              0.0002576,              0.0002576,              0.0002576
                    179,                 1.2377,                0.55848,                 1.2517,                0.96965,                 0.9699,                 0.9861,                0.64629,                 1.2303,                0.51621,                 1.3023,              0.0002477,              0.0002477,              0.0002477
                    180,                 1.2327,                0.54471,                 1.2489,                0.96857,                0.97088,                0.98625,                0.64908,                 1.2131,                0.51247,                 1.2971,              0.0002378,              0.0002378,              0.0002378
                    181,                  1.261,                0.56698,                 1.2868,                0.96787,                0.96902,                0.98768,                0.65768,                 1.2132,                0.50902,                 1.2972,              0.0002279,              0.0002279,              0.0002279
                    182,                 1.2289,                0.55543,                 1.2741,                0.96684,                0.96902,                 0.9884,                0.65989,                 1.2195,                0.50641,                 1.3002,               0.000218,               0.000218,               0.000218
                    183,                 1.2548,                0.57367,                 1.2619,                0.96545,                 0.9694,                0.98845,                 0.6629,                 1.2302,                0.50505,                 1.3052,              0.0002081,              0.0002081,              0.0002081
                    184,                 1.2242,                 0.5505,                 1.2532,                0.96603,                0.96917,                0.98848,                0.66483,                 1.2245,                0.50257,                 1.3002,              0.0001982,              0.0001982,              0.0001982
                    185,                 1.2669,                0.55894,                 1.2684,                0.96404,                0.96964,                0.98866,                0.66502,                 1.2115,                0.50113,                 1.2963,              0.0001883,              0.0001883,              0.0001883
                    186,                  1.246,                0.55907,                 1.2611,                0.96034,                0.97512,                0.98836,                0.66211,                 1.2134,                 0.5087,                 1.2989,              0.0001784,              0.0001784,              0.0001784
                    187,                 1.2373,                 0.5542,                 1.2372,                0.96827,                0.96964,                0.98824,                0.66374,                 1.2109,                0.50698,                 1.2942,              0.0001685,              0.0001685,              0.0001685
                    188,                 1.2495,                0.57072,                 1.2449,                0.97129,                0.96592,                0.98835,                0.66358,                 1.2192,                0.50573,                 1.2988,              0.0001586,              0.0001586,              0.0001586
                    189,                 1.2264,                0.54251,                 1.2667,                0.96757,                 0.9684,                 0.9883,                0.66372,                 1.2141,                0.50099,                 1.2965,              0.0001487,              0.0001487,              0.0001487
                    190,                 1.2342,                0.55942,                  1.267,                0.96901,                0.96861,                0.98851,                0.66481,                 1.2102,                0.49938,                 1.2948,              0.0001388,              0.0001388,              0.0001388
                    191,                 1.2214,                0.55195,                  1.307,                0.96834,                0.96631,                0.98838,                0.66223,                 1.2156,                 0.5034,                 1.2984,              0.0001289,              0.0001289,              0.0001289
                    192,                 1.2472,                0.55416,                 1.3359,                0.96601,                0.96855,                0.98808,                 0.6519,                 1.2314,                0.51379,                 1.3089,               0.000119,               0.000119,               0.000119
                    193,                 1.2506,                0.54335,                 1.3502,                0.96409,                0.96964,                0.98758,                0.65511,                 1.2199,                0.51546,                 1.2995,              0.0001091,              0.0001091,              0.0001091
                    194,                 1.2459,                0.56638,                 1.3341,                0.96655,                 0.9653,                0.98786,                0.65487,                 1.2115,                0.51187,                 1.2933,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                 1.2342,                0.54143,                 1.3063,                0.96551,                0.96902,                  0.988,                0.65594,                 1.2065,                0.51154,                 1.2911,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                 1.2331,                0.53338,                 1.3126,                0.95891,                0.96885,                0.98751,                0.65611,                 1.2036,                0.51399,                 1.2897,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                 1.2318,                0.54163,                 1.3049,                0.96332,                0.96001,                0.98699,                0.65529,                 1.2006,                0.51667,                 1.2889,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                 1.2194,                0.53275,                 1.3342,                0.95517,                0.97026,                0.98712,                0.65608,                 1.2013,                0.51493,                 1.2888,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                 1.2525,                 0.5543,                 1.3534,                0.95716,                 0.9691,                0.98737,                0.65839,                 1.2024,                0.51303,                 1.2887,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                 1.2398,                0.54232,                 1.3151,                 0.9572,                0.97007,                0.98782,                0.65811,                 1.2064,                0.51173,                 1.2909,               3.98e-05,               3.98e-05,               3.98e-05
